column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_vs_plain_pct	winner_by_allocated_bytes	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages
IsArtifical	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	2790.000000	1371.000000	-50.860215	rle-dict	2790.000000	1371.000000	1	0	1	0	0	0
IsRefresh	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	3154.000000	1372.000000	-56.499683	rle-dict	3154.000000	1372.000000	1	0	1	0	0	0
JavaEnable	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	705.000000	585.000000	-17.021277	rle-dict	705.000000	585.000000	1	0	1	0	0	0
MobilePhoneModel	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	242.000000	234.000000	-3.305785	rle-dict	242.000000	234.000000	1	0	1	0	0	0
NetMinor	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	354.000000	334.000000	-5.649718	rle-dict	354.000000	334.000000	1	0	1	0	0	0
OpenstatAdID	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	297.000000	288.000000	-3.030303	rle-dict	297.000000	288.000000	1	0	1	0	0	0
OpenstatCampaignID	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	239.000000	231.000000	-3.347280	rle-dict	239.000000	231.000000	1	0	1	0	0	0
OpenstatServiceName	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	239.000000	220.000000	-7.949791	rle-dict	239.000000	220.000000	1	0	1	0	0	0
OriginalURL	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	9582.000000	8962.000000	-6.470465	rle-dict	9582.000000	8962.000000	1	0	1	0	0	0
PageCharset	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	386.000000	298.000000	-22.797927	rle-dict	386.000000	298.000000	1	0	1	0	0	0
Referer	STRING	4	1	4	10000	0	4	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	101845.000000	82816.000000	-18.684275	rle-dict	101845.000000	82816.000000	0	0	0	0	4	1
RefererCategoryID	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	2611.000000	2204.000000	-15.587897	rle-dict	2611.000000	2204.000000	1	0	1	0	0	0
RefererRegionID	INT(32,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	2656.000000	1764.000000	-33.584337	rle-dict	2656.000000	1764.000000	1	0	1	0	0	0
ResolutionDepth	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	907.000000	734.000000	-19.073870	rle-dict	907.000000	734.000000	1	0	1	0	0	0
